,Borough,Ward,Geog level,Constituency,,Turnout,Ward Level Electorate,% Turnout,Winner,Sadiq Aman Khan - Labour Party,Zac Goldsmith - The Conservative Party,Sian Rebecca Berry - Green Party,Caroline Valerie Pidgeon - London Liberal Democrats,Peter Robin Whittle - UK Independence Party (UKIP),Other,Total Good
587,Hammersmith & Fulham,Parsons Green And Walham,Ward,West Central,E05000260,"2,629","6,035",44%,Zac Goldsmith,598,1628,84,99,44,129,2582
588,Hammersmith & Fulham,Ravenscourt Park,Ward,West Central,E05000261,"3,222","6,097",53%,Zac Goldsmith,1178,1303,242,226,28,204,3181
589,Hammersmith & Fulham,Sands End,Ward,West Central,E05000262,"2,816","7,526",37%,Zac Goldsmith,1000,1298,144,97,69,150,2758
590,Hammersmith & Fulham,Shepherd's Bush Green,Ward,West Central,E05000263,"2,923","7,155",41%,Sadiq Aman Khan,1540,646,236,133,59,267,2881
591,Hammersmith & Fulham,Town,Ward,West Central,E05000264,"2,513","6,439",39%,Zac Goldsmith,743,1305,140,85,60,136,2469
592,Hammersmith & Fulham,Wormholt And White City,Ward,West Central,E05000265,"3,202","7,761",41%,Sadiq Aman Khan,1843,684,170,105,92,223,3117
593,Kensington & Chelsea,Abingdon,Ward,West Central,E05009388,"1,787","4,219",42%,Zac Goldsmith,379,1123,76,81,21,82,1762
594,Kensington & Chelsea,Brompton And Hans Town,Ward,West Central,E05009389,"1,417","4,278",33%,Zac Goldsmith,230,1001,55,34,20,57,1397
595,Kensington & Chelsea,Campden,Ward,West Central,E05009390,"1,696","4,184",41%,Zac Goldsmith,290,1151,62,79,24,67,1673
596,Kensington & Chelsea,Chelsea Riverside,Ward,West Central,E05009391,"1,899","4,873",39%,Zac Goldsmith,575,947,73,65,43,147,1850
597,Kensington & Chelsea,Colville,Ward,West Central,E05009392,"2,043","5,172",40%,Sadiq Aman Khan,935,647,144,88,32,161,2007
598,Kensington & Chelsea,Courtfield,Ward,West Central,E05009393,"1,507","4,389",34%,Zac Goldsmith,217,1032,60,77,17,79,1482
599,Kensington & Chelsea,Dalgarno,Ward,West Central,E05009394,"1,528","3,840",40%,Sadiq Aman Khan,795,361,77,53,45,136,1467
600,Kensington & Chelsea,Earls Court,Ward,West Central,E05009395,"1,818","4,894",37%,Zac Goldsmith,498,878,101,138,28,124,1767
601,Kensington & Chelsea,Golborne,Ward,West Central,E05009396,"1,812","4,912",37%,Sadiq Aman Khan,1048,338,97,37,42,200,1762
602,Kensington & Chelsea,Holland,Ward,West Central,E05009397,"1,632","4,189",39%,Zac Goldsmith,449,895,84,64,16,107,1615
603,Kensington & Chelsea,Norland,Ward,West Central,E05009398,"1,457","3,124",47%,Zac Goldsmith,351,844,56,58,26,92,1427
604,Kensington & Chelsea,Notting Dale,Ward,West Central,E05009399,"1,985","5,127",39%,Sadiq Aman Khan,1072,473,107,49,62,158,1921
605,Kensington & Chelsea,Pembridge,Ward,West Central,E05009400,"1,173","3,046",39%,Zac Goldsmith,315,598,80,76,16,66,1151
606,Kensington & Chelsea,Queen`S Gate,Ward,West Central,E05009401,"1,269","3,773",34%,Zac Goldsmith,243,828,64,49,14,52,1250
607,Kensington & Chelsea,Redcliffe,Ward,West Central,E05009402,"1,746","4,625",38%,Zac Goldsmith,367,1103,76,71,18,77,1712
608,Kensington & Chelsea,Royal Hospital,Ward,West Central,E05009403,"1,926","4,790",40%,Zac Goldsmith,334,1344,56,57,44,62,1897
609,Kensington & Chelsea,St Helen`S,Ward,West Central,E05009404,"1,509","3,688",41%,Sadiq Aman Khan,625,515,104,75,39,117,1475
610,Kensington & Chelsea,Stanley,Ward,West Central,E05009405,"1,863","4,877",38%,Zac Goldsmith,418,1157,76,52,46,82,1831
611,Westminster,Abbey Road,Ward,West Central,E05000630,"2,254","5,091",44%,Zac Goldsmith,539,1373,98,85,28,92,2215
612,Westminster,Bayswater,Ward,West Central,E05000631,"2,141","5,365",40%,Zac Goldsmith,764,906,134,116,37,143,2100
613,Westminster,Bryanston And Dorset Square,Ward,West Central,E05000632,"2,071","5,229",40%,Zac Goldsmith,631,1026,123,100,32,124,2036
614,Westminster,Church Street,Ward,West Central,E05000634,"2,618","6,082",43%,Sadiq Aman Khan,1635,467,87,55,73,193,2510
615,Westminster,Churchill,Ward,West Central,E05000633,"2,364","5,314",44%,Sadiq Aman Khan,1064,835,98,71,88,157,2313
616,Westminster,Harrow Road,Ward,West Central,E05000635,"2,694","6,534",41%,Sadiq Aman Khan,1558,571,163,89,59,183,2623
617,Westminster,Hyde Park,Ward,West Central,E05000636,"1,872","5,350",35%,Zac Goldsmith,595,935,98,88,27,104,1847
618,Westminster,Knightsbridge And Belgravia,Ward,West Central,E05000637,"1,081","3,496",31%,Zac Goldsmith,134,809,37,33,12,40,1065
619,Westminster,Lancaster Gate,Ward,West Central,E05000638,"2,190","5,657",39%,Zac Goldsmith,724,1016,112,115,35,155,2157
620,Westminster,Little Venice,Ward,West Central,E05000639,"2,232","5,278",42%,Zac Goldsmith,771,1028,112,98,41,142,2192
621,Westminster,Maida Vale,Ward,West Central,E05000640,"2,329","5,721",41%,Sadiq Aman Khan,1008,818,138,125,53,149,2291
622,Westminster,Marylebone High Street,Ward,West Central,E05000641,"1,850","4,676",40%,Zac Goldsmith,481,1038,91,88,38,85,1821
623,Westminster,Queens Park,Ward,West Central,E05000642,"2,867","6,912",41%,Sadiq Aman Khan,1818,472,167,76,55,205,2793
624,Westminster,Regent's Park,Ward,West Central,E05000643,"2,138","5,621",38%,Zac Goldsmith,714,1066,109,68,35,108,2100
625,Westminster,St James's,Ward,West Central,E05000644,"2,156","5,768",37%,Zac Goldsmith,713,979,118,118,44,155,2127
626,Westminster,Tachbrook,Ward,West Central,E05000645,"2,229","4,831",46%,Zac Goldsmith,725,1039,120,124,68,107,2183
627,Westminster,Vincent Square,Ward,West Central,E05000646,"2,539","5,713",44%,Zac Goldsmith,938,1049,132,124,67,170,2480
628,Westminster,Warwick,Ward,West Central,E05000647,"2,254","5,261",43%,Zac Goldsmith,659,1113,101,130,55,150,2208
629,Westminster,West End,Ward,West Central,E05000649,"1,797","4,707",38%,Zac Goldsmith,619,783,116,80,39,116,1753
630,Westminster,Westbourne,Ward,West Central,E05000648,"2,390","6,712",36%,Sadiq Aman Khan,1431,481,129,66,42,179,2328
