,Borough,Ward,Geog level,Constituency,,Turnout,Ward Level Electorate,% Turnout,Winner,Sadiq Aman Khan - Labour Party,Zac Goldsmith - The Conservative Party,Sian Rebecca Berry - Green Party,Caroline Valerie Pidgeon - London Liberal Democrats,Peter Robin Whittle - UK Independence Party (UKIP),Other,Total Good
549,Kingston upon Thames,Coombe Hill,Ward,South West,E05000406,"2,285","5,007",46%,Zac Goldsmith,626,1282,92,114,27,99,2240
550,Kingston upon Thames,Coombe Vale,Ward,South West,E05000407,"2,928","5,381",54%,Zac Goldsmith,862,1530,151,190,42,107,2882
551,Kingston upon Thames,Grove,Ward,South West,E05000408,"2,565","6,012",43%,Sadiq Aman Khan,957,903,192,313,39,137,2541
552,Kingston upon Thames,Norbiton,Ward,South West,E05000409,"2,297","5,476",42%,Sadiq Aman Khan,993,641,164,267,62,132,2259
553,Kingston upon Thames,Old Malden,Ward,South West,E05000410,"2,673","5,650",47%,Zac Goldsmith,721,1322,91,244,106,137,2621
554,Kingston upon Thames,St James,Ward,South West,E05000411,"2,466","5,220",47%,Zac Goldsmith,782,1131,100,220,89,105,2427
555,Kingston upon Thames,St Mark's,Ward,South West,E05000412,"2,689","5,813",46%,Sadiq Aman Khan,952,950,231,318,50,152,2653
556,Kingston upon Thames,Surbiton Hill,Ward,South West,E05000413,"2,857","6,036",47%,Zac Goldsmith,923,1187,183,355,57,112,2817
557,Kingston upon Thames,Tolworth And Hook Rise,Ward,South West,E05000414,"2,444","5,947",41%,Zac Goldsmith,764,954,93,320,108,150,2389
558,Kingston upon Thames,Tudor,Ward,South West,E05000415,"3,105","5,411",57%,Zac Goldsmith,751,1759,197,202,57,98,3064
559,Richmond upon Thames,Barnes,Ward,South West,E05000516,"3,197","5,762",55%,Zac Goldsmith,635,2077,134,167,30,116,3159
560,Richmond upon Thames,East Sheen,Ward,South West,E05000517,"3,796","6,120",62%,Zac Goldsmith,761,2424,170,239,33,133,3760
561,Richmond upon Thames,Fulwell And Hampton Hill,Ward,South West,E05000518,"3,284","6,326",52%,Zac Goldsmith,989,1511,242,324,59,124,3249
562,Richmond upon Thames,"Ham, Petersham And Richmond Riverside",Ward,South West,E05000519,"3,208","5,905",54%,Zac Goldsmith,792,1684,253,231,73,131,3164
563,Richmond upon Thames,Hampton,Ward,South West,E05000520,"3,127","6,197",50%,Zac Goldsmith,812,1576,163,330,61,139,3081
564,Richmond upon Thames,Hampton North,Ward,South West,E05000521,"2,499","5,805",43%,Zac Goldsmith,658,1255,139,196,91,127,2466
565,Richmond upon Thames,Hampton Wick,Ward,South West,E05000522,"3,239","6,316",51%,Zac Goldsmith,979,1544,206,248,47,173,3197
566,Richmond upon Thames,Heathfield,Ward,South West,E05000523,"2,640","6,118",43%,Zac Goldsmith,795,1192,99,220,126,147,2579
567,Richmond upon Thames,Kew,Ward,South West,E05000524,"3,843","6,483",59%,Zac Goldsmith,903,2151,244,302,36,161,3797
568,Richmond upon Thames,Mortlake And Barnes Common,Ward,South West,E05000525,"3,498","6,389",55%,Zac Goldsmith,871,2021,172,201,37,151,3453
569,Richmond upon Thames,North Richmond,Ward,South West,E05000526,"3,404","6,316",54%,Zac Goldsmith,834,1903,173,251,43,155,3359
570,Richmond upon Thames,South Richmond,Ward,South West,E05000528,"3,343","6,052",55%,Zac Goldsmith,829,1958,182,167,36,128,3300
571,Richmond upon Thames,South Twickenham,Ward,South West,E05000529,"3,353","5,883",57%,Zac Goldsmith,938,1654,251,292,43,137,3315
572,Richmond upon Thames,St Margaret's And North Twickenham,Ward,South West,E05000527,"3,608","6,704",54%,Zac Goldsmith,1183,1602,280,314,32,147,3558
573,Richmond upon Thames,Teddington,Ward,South West,E05000530,"3,432","6,382",54%,Zac Goldsmith,986,1617,233,366,37,151,3390
574,Richmond upon Thames,Twickenham Riverside,Ward,South West,E05000531,"3,195","6,134",52%,Zac Goldsmith,993,1460,269,248,30,151,3151
575,Richmond upon Thames,West Twickenham,Ward,South West,E05000532,"2,991","6,400",47%,Zac Goldsmith,951,1264,206,300,83,140,2944
576,Richmond upon Thames,Whitton,Ward,South West,E05000533,"2,924","5,985",49%,Zac Goldsmith,834,1321,175,295,99,158,2882
577,Hammersmith & Fulham,Addison,Ward,West Central,E05000250,"2,942","6,824",43%,Sadiq Aman Khan,1261,1060,211,137,45,187,2901
578,Hammersmith & Fulham,Askew,Ward,West Central,E05000251,"3,750","8,365",45%,Sadiq Aman Khan,1965,949,272,167,68,260,3681
579,Hammersmith & Fulham,Avonmore And Brook Green,Ward,West Central,E05000252,"2,786","6,751",41%,Zac Goldsmith,1082,1088,206,134,45,187,2742
580,Hammersmith & Fulham,College Park And Old Oak,Ward,West Central,E05000253,"1,848","4,953",37%,Sadiq Aman Khan,997,373,102,51,93,187,1803
581,Hammersmith & Fulham,Fulham Broadway,Ward,West Central,E05000254,"2,481","6,465",38%,Zac Goldsmith,891,1068,118,74,74,188,2413
582,Hammersmith & Fulham,Fulham Reach,Ward,West Central,E05000255,"3,015","6,733",45%,Sadiq Aman Khan,1294,1025,237,138,76,205,2975
583,Hammersmith & Fulham,Hammersmith Broadway,Ward,West Central,E05000256,"2,902","6,802",43%,Sadiq Aman Khan,1403,847,195,142,68,209,2864
584,Hammersmith & Fulham,Munster,Ward,West Central,E05000257,"2,670","6,516",41%,Zac Goldsmith,721,1436,160,132,53,130,2632
585,Hammersmith & Fulham,North End,Ward,West Central,E05000258,"2,775","6,691",41%,Sadiq Aman Khan,1259,882,202,114,67,194,2718
586,Hammersmith & Fulham,Palace Riverside,Ward,West Central,E05000259,"2,198","4,234",52%,Zac Goldsmith,525,1295,105,106,37,98,2166
