MSOA11CD,MSOA11NM,Local authority,covid_19_deaths,covid_19_deaths_per_thousand,total_population_mid_2018,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,child_poverty_prop,total_registered_patients,Hypertension,Obesity (18+),Diabetes,Asthma,Coronary heart disease
E02000053,Barnet 030,Barnet,1,0.063926357,15643,0.046474461,0.285371703,0.257793765,0.590318501,0.126250431,0.053006784,0.11406232,0.159976731,17541,9.13,5.62,4.8,3.39,1.61
E02000054,Barnet 031,Barnet,8,1.050420168,7616,0.081144958,0.250959956,0.219692814,0.459616986,0.091174022,0.028864835,0.097696364,0.139285714,8758,9.69,4.67,4.22,3.37,1.91
E02000055,Barnet 032,Barnet,7,0.590169463,11861,0.093246775,0.259433077,0.231837807,0.381221923,0.069631626,0.018508535,0.083018868,0.142730102,14542,9.78,4.46,4.31,3.39,1.9
E02000056,Barnet 033,Barnet,9,0.961846746,9357,0.141177728,0.178539427,0.122759857,0.2032132,0.021710812,0.011832393,0.036799826,0.030776515,9544,9.49,3.89,3.5,3.5,2.42
E02000057,Barnet 034,Barnet,9,1.104701117,8147,0.082116116,0.259237707,0.208903113,0.295831106,0.043693212,0.016034206,0.061865313,0.121552127,9387,9.56,4.15,4.34,3.21,1.84
E02000058,Barnet 035,Barnet,3,0.273997625,10949,0.128230889,0.211351459,0.147052987,0.232191781,0.033072407,0.014677104,0.03630137,0.088223055,11928,9.27,3.34,3.46,3.16,2.42
E02000059,Barnet 036,Barnet,14,1.200892091,11658,0.078229542,0.278948425,0.289985952,0.577971125,0.112056602,0.048474998,0.172674252,0.225848003,13132,11.08,5.62,5.61,3.7,2.03
E02000060,Barnet 037,Barnet,9,0.728273183,12358,0.096536656,0.228863291,0.184090415,0.273901099,0.034065934,0.013461538,0.056959707,0.13654169,13908,9.29,3.35,3.9,2.95,2.09
E02000061,Barnet 038,Barnet,10,1.113585746,8980,0.104454343,0.204636858,0.153063639,0.337077249,0.032322476,0.018844378,0.052539623,0.06536347,9810,8.7,3.19,3.54,2.88,2.07
E02000062,Barnet 039,Barnet,3,0.439496045,6826,0.061968942,0.294354839,0.296706989,0.506309148,0.153943218,0.035804416,0.082018927,0.2183345,8052,8.81,4.74,4.26,3.15,1.64
E02000063,Barnet 040,Barnet,4,0.51579626,7755,0.083558994,0.268022181,0.24676525,0.477262946,0.11146177,0.032563477,0.053794291,0.131512071,9384,9.85,4.96,4.33,3.57,1.96
E02000064,Barnet 041,Barnet,0,0,6851,0.084075317,0.284974093,0.263557858,0.391485275,0.104353393,0.025928297,0.031049936,0.181749049,7344,9.48,4.9,3.92,3.46,1.84
E02000065,Bexley 001,Bexley,0,0,8992,0.049710854,0.357621951,0.303353659,0.566918863,0.437516306,0.010566136,0.018914688,0.205544554,8849,11.64,7.67,5.15,4.1,1.46
E02000066,Bexley 002,Bexley,3,0.297944185,10069,0.076075082,0.344290657,0.354918438,0.470905508,0.31791308,0.008090447,0.028212841,0.253515468,10441,11.05,8.09,5.1,4.23,1.46
E02000067,Bexley 003,Bexley,3,0.292198305,10267,0.074607967,0.29754902,0.289705882,0.304228571,0.164,0.006057143,0.054285714,0.19601464,10461,10.52,7.78,4.75,3.67,1.82
E02000068,Bexley 004,Bexley,3,0.367556971,8162,0.066650331,0.29260843,0.280696396,0.346913914,0.210341094,0.005955604,0.056848944,0.219302437,8307,12.12,9.76,5.71,4.15,2.13
E02000069,Bexley 005,Bexley,3,0.444049734,6756,0.124777975,0.287089872,0.264621969,0.256377139,0.121730707,0.01033258,0.06151114,0.164705882,6886,11.95,8.93,5.34,4.37,2.24
E02000070,Bexley 006,Bexley,0,0,8064,0.142237103,0.286237572,0.253008896,0.176126984,0.066412698,0.005206349,0.051428571,0.156401384,8365,11.03,7.1,4.67,3.98,1.97
E02000071,Bexley 007,Bexley,3,0.391747192,7658,0.100026116,0.272676056,0.255774648,0.15109589,0.053561644,0.004931507,0.04,0.18922229,8162,12.39,9.4,5.21,4.56,2.34
E02000072,Bexley 008,Bexley,1,0.077814956,12851,0.059139367,0.308773424,0.334752981,0.287455258,0.207346174,0.003664565,0.013124254,0.210451576,12796,10.5,10,4.88,4.04,1.65
E02000073,Bexley 009,Bexley,6,0.549349936,10922,0.140358909,0.274563107,0.213786408,0.161973144,0.046717643,0.00690041,0.050261097,0.135926993,11208,13.35,7.19,5.03,4.32,2.34
E02000074,Bexley 010,Bexley,7,0.820921778,8527,0.102263399,0.302483737,0.311058545,0.178576094,0.10711953,0.006009144,0.024428478,0.217118998,9116,11.79,10.03,5.12,4.62,2.11
E02000075,Bexley 011,Bexley,4,0.484202881,8261,0.17140782,0.26828651,0.203998988,0.115626573,0.029189733,0.004529441,0.035858078,0.10212766,8378,13.52,6.99,4.98,4.49,2.52
E02000077,Bexley 013,Bexley,9,1.092100473,8241,0.120131052,0.292244479,0.237544941,0.171289787,0.046785121,0.008947974,0.04473987,0.134495641,8611,13.36,8.84,5.11,3.86,2.19
E02000078,Bexley 014,Bexley,5,0.631871604,7913,0.141412865,0.26125902,0.196068674,0.093672538,0.041226354,0.001565558,0.012393999,0.111333333,8113,13.51,8.94,5.24,5.08,2.71
E02000079,Bexley 015,Bexley,19,2.193995381,8660,0.153464203,0.269172169,0.191975622,0.134138589,0.027082009,0.008010172,0.033312142,0.109555691,8780,12.78,5.52,4.65,4.32,2.61
E02000080,Bexley 016,Bexley,1,0.098289758,10174,0.124827993,0.271400566,0.218470921,0.18504772,0.04835631,0.00795334,0.045705196,0.136831276,10665,12.44,8.15,4.91,3.93,2.45
E02000081,Bexley 017,Bexley,3,0.37327361,8037,0.15304218,0.280169972,0.224929178,0.104485558,0.02994809,0.005723413,0.023825369,0.135953608,8462,13.25,6.89,4.88,4.9,2.79
E02000082,Bexley 018,Bexley,5,0.542829226,9211,0.122570839,0.29440967,0.222533995,0.125844975,0.036728256,0.008111762,0.02546192,0.109211252,9650,12.25,7.8,4.68,3.82,2.45
E02000083,Bexley 019,Bexley,3,0.262697023,11420,0.100788091,0.267070009,0.23573898,0.121174905,0.053730427,0.007266401,0.015351551,0.188954635,11385,11.07,6.52,4.5,4.53,2.04
E02000084,Bexley 020,Bexley,1,0.090686497,11027,0.135939059,0.256964809,0.182184751,0.129029227,0.030636218,0.005356639,0.035147073,0.121868979,11423,12.51,5.89,4.74,4.37,2.63
E02000085,Bexley 021,Bexley,2,0.249875062,8004,0.126811594,0.281847529,0.215296747,0.099835297,0.027112631,0.007094894,0.011529203,0.139825218,8240,11.43,6.32,4.75,3.86,2.55
E02000086,Bexley 022,Bexley,4,0.546896363,7314,0.137544435,0.246021393,0.197495434,0.074372271,0.012418122,0.002319869,0.019787118,0.096313017,7450,11.33,5.96,4.54,4.03,2.56
E02000087,Bexley 023,Bexley,2,0.248169748,8059,0.166025561,0.236941303,0.156165859,0.103311783,0.018208207,0.003826362,0.032590051,0.087357955,8345,11.6,5.38,4.46,4.54,2.88
E02000088,Bexley 024,Bexley,2,0.256607647,7794,0.147677701,0.261340726,0.208165323,0.081943906,0.014346646,0.0068502,0.021713843,0.095567867,8064,12.64,5.84,4.92,4.71,2.58
E02000089,Bexley 025,Bexley,8,1.011633789,7908,0.151997977,0.27218319,0.200364299,0.076063215,0.021457022,0.00372607,0.013619427,0.061568373,8169,12.49,6.63,4.96,4.54,2.8
E02000090,Bexley 026,Bexley,9,0.943198491,9542,0.153846154,0.253968254,0.174836601,0.094430438,0.019711208,0.006303003,0.017648407,0.091946734,9476,11.92,5.56,4.76,4.31,2.47
E02000091,Bexley 027,Bexley,9,0.903070439,9966,0.180212723,0.261535049,0.176574978,0.105350134,0.023858707,0.012600702,0.018797769,0.100364964,10012,12.38,5.48,4.82,4.3,2.61
E02000092,Bexley 028,Bexley,7,1.030320871,6794,0.116131881,0.299394802,0.264150943,0.125894802,0.047152194,0.008247744,0.012293806,0.200264375,6893,11.94,5.31,4.8,3.96,2.61
E02000093,Brent 001,Brent,14,1.255943303,11147,0.101551987,0.259923664,0.222328244,0.720573371,0.095837545,0.046770192,0.381604337,0.228817028,14105,13.26,6.49,7.92,4.08,2.4
E02000094,Brent 002,Brent,6,0.653381248,9183,0.093760209,0.287731256,0.27677702,0.625314429,0.134461468,0.075691745,0.184770181,0.199106256,12045,12.29,5.31,6.41,4.43,2.01
E02000095,Brent 003,Brent,7,0.700420252,9994,0.118471083,0.245606422,0.223909742,0.721701441,0.076201996,0.05463159,0.396230219,0.201528176,12708,12.16,5.64,7.78,4.2,2.36
E02000096,Brent 004,Brent,7,0.936454849,7475,0.161204013,0.218823529,0.146928105,0.677151882,0.041458278,0.041984733,0.438404843,0.16056338,8785,10.95,6.25,6.47,3.88,2.33
E02000097,Brent 005,Brent,10,1.099263493,9097,0.098603935,0.279551548,0.268096515,0.638758651,0.116208975,0.064300067,0.229515517,0.189522342,10884,10.77,5.73,6.87,4.41,1.81
E02000098,Brent 006,Brent,20,2.370510845,8437,0.103591324,0.243221477,0.219865772,0.672079557,0.127265861,0.056898288,0.234390735,0.206349206,10259,11.39,6.74,6.81,3.92,2.36
E02000099,Brent 007,Brent,5,0.559221564,8941,0.087685941,0.24938935,0.247191011,0.700011485,0.139657747,0.057654761,0.263466177,0.217898833,10306,11.05,6.38,6.84,3.92,2.33
E02000100,Brent 008,Brent,6,0.680812436,8813,0.115397708,0.309022022,0.17025811,0.684191702,0.083094897,0.072365284,0.309370529,0.095910781,9301,10.65,4.74,6.46,3.38,2.2
E02000101,Brent 009,Brent,15,1.562825589,9598,0.099291519,0.272727273,0.261898766,0.696635234,0.225246464,0.053471925,0.180561509,0.167721519,12365,10.33,8.84,5.95,4.5,1.94
E02000102,Brent 010,Brent,9,1.197764174,7514,0.078387011,0.278392914,0.327111674,0.683318351,0.234236548,0.092590214,0.15898292,0.214399153,9395,11.79,8.63,6.33,3.86,1.86
E02000103,Brent 011,Brent,4,0.433980688,9217,0.095367256,0.284891692,0.298053194,0.577553594,0.210936604,0.073942451,0.056287974,0.184559159,11278,11.59,6.48,5.65,4.56,1.94
E02000104,Brent 012,Brent,10,1.373437715,7281,0.125120176,0.251766217,0.244701349,0.701049209,0.132702823,0.068272499,0.263927885,0.193324061,9027,10.16,8.13,6.29,3.97,1.96
E02000105,Brent 013,Brent,6,0.616903146,9726,0.080403043,0.256380777,0.279374569,0.757552706,0.13931754,0.068898066,0.28722017,0.167272727,11807,10.32,5.15,6.67,3.04,1.91
E02000106,Brent 014,Brent,12,1.126549005,10652,0.073695081,0.287707641,0.331782946,0.623666438,0.219438191,0.06655574,0.110697857,0.203362034,13092,11.5,8.65,6.45,3.94,1.8
E02000107,Brent 015,Brent,2,0.173415417,11533,0.07075349,0.264813844,0.269008915,0.46530116,0.128226712,0.064347175,0.047231575,0.128467153,13560,8.88,4.69,4.63,3.3,1.47
E02000108,Brent 016,Brent,6,0.901713255,6654,0.088518185,0.250402317,0.28130029,0.737849332,0.149605103,0.070473876,0.273390036,0.157825802,8206,11.17,5.13,7.01,3.31,2.21
E02000109,Brent 017,Brent,14,1.085860544,12893,0.069960444,0.261561307,0.284047518,0.762672344,0.220397405,0.074716139,0.265308191,0.162675475,16764,10.04,7.46,6.01,3.84,1.74
E02000110,Brent 018,Brent,4,0.463929483,8622,0.079563906,0.255104382,0.220233999,0.469271671,0.139854087,0.062940522,0.078150117,0.130550033,9768,9.38,4.8,4.69,3.33,1.46
E02000111,Brent 019,Brent,10,0.926097425,10798,0.078625671,0.252159258,0.32778597,0.837865467,0.119914128,0.067982008,0.454099366,0.213394343,15041,9.41,5.01,6.62,2.89,1.64
E02000112,Brent 020,Brent,8,0.762485703,10492,0.076343881,0.269482577,0.33938754,0.789334182,0.178011026,0.068914334,0.340436811,0.17967968,14516,10.07,6.3,6.88,3.49,1.65
E02000113,Brent 021,Brent,8,0.815078961,9815,0.068874172,0.325124597,0.377895045,0.752563439,0.441740031,0.046400829,0.07426204,0.225997046,11641,11.76,5.32,7.13,4.24,1.67
E02000114,Brent 022,Brent,5,0.492610837,10150,0.065320197,0.267256993,0.26665325,0.47436182,0.150721421,0.055715871,0.069700333,0.145132743,11238,10.17,4.81,4.87,3.57,1.51
E02000115,Brent 023,Brent,4,0.453977982,8811,0.081262059,0.216677195,0.162560539,0.378776978,0.116786571,0.017625899,0.040047962,0.138996139,10367,8.58,4.36,3.76,3.5,1.34
E02000116,Brent 024,Brent,6,0.639249947,9386,0.052844662,0.303070408,0.36447856,0.592297314,0.228995462,0.045014105,0.08131976,0.195215311,10661,11.12,5.26,5.62,3.82,1.59
E02000117,Brent 025,Brent,28,2.14954706,13026,0.073929065,0.309082988,0.382705293,0.68875385,0.418296845,0.045866977,0.041538333,0.168693009,15351,11.56,6.33,6.68,4.13,1.61
E02000118,Brent 026,Brent,14,1.353703346,10342,0.07464707,0.254663969,0.394021128,0.826843501,0.151193634,0.052201592,0.386312997,0.291512915,13419,10.75,4.39,7.35,3.39,1.94
E02000119,Brent 027,Brent,11,1.222222222,9000,0.068777778,0.326490328,0.35175681,0.781456954,0.511589404,0.027593819,0.044012141,0.196740859,10821,11.63,5.98,7.05,3.95,1.64
E02000120,Brent 028,Brent,2,0.216990344,9217,0.071172833,0.224378741,0.201523671,0.35815064,0.122422401,0.016713697,0.02832646,0.138765118,12307,8.99,4.66,3.71,4.1,1.37
E02000121,Brent 029,Brent,15,1.393663477,10763,0.074979095,0.232704403,0.346136568,0.839695511,0.083958357,0.051382514,0.492891526,0.276586801,14684,11.28,4.24,7.42,3.5,2.08
E02000122,Brent 030,Brent,8,1.02406554,7812,0.104326677,0.23787915,0.179842369,0.417749722,0.1159797,0.033791311,0.070677064,0.098489823,9974,9.43,4.93,4.43,3.8,1.5
E02000123,Brent 031,Brent,12,0.754527163,15904,0.05306841,0.280720339,0.36970339,0.602350703,0.33066105,0.029010123,0.04511176,0.14258347,17725,11.17,6.88,6.54,3.71,1.63
E02000124,Brent 032,Brent,6,0.592534071,10126,0.075943117,0.216216216,0.188679245,0.351790256,0.125611426,0.015261201,0.028272354,0.093103448,11886,9.09,4.21,4.14,4.27,1.31
E02000125,Brent 033,Brent,5,0.478377344,10452,0.085629545,0.248768891,0.224995755,0.461211281,0.18779473,0.023763292,0.074526121,0.10770751,12001,11.14,6.24,5.94,4.11,1.74
E02000126,Brent 034,Brent,5,0.630994447,7924,0.071933367,0.314347961,0.312480548,0.668810289,0.39318328,0.022379421,0.026109325,0.23718593,9856,9.55,6.59,4.78,5,1.47
E02000127,Bromley 001,Bromley,2,0.211617818,9451,0.092053751,0.294889314,0.263186663,0.194860309,0.096546033,0.002475539,0.019804315,0.201476335,9943,12.03,6.87,4.44,5.03,2.36
E02000128,Bromley 002,Bromley,1,0.128139416,7804,0.12942081,0.259871932,0.174759872,0.116671237,0.027968193,0.011516315,0.014943789,0.110974862,8259,13.69,5.96,4.29,5.45,2.85
E02000130,Bromley 004,Bromley,1,0.115928588,8626,0.084511941,0.242897727,0.183948864,0.305029062,0.163507708,0.014025777,0.017184736,0.122334456,9114,10.41,6.4,4.33,4.92,1.83
E02000131,Bromley 005,Bromley,6,0.569746463,10531,0.045579717,0.236130583,0.189665532,0.373799419,0.219566674,0.009157918,0.017869109,0.176807072,10361,9.5,6.51,4.1,4.79,1.51
E02000132,Bromley 006,Bromley,5,0.490918017,10185,0.101030928,0.209979633,0.13095723,0.195167503,0.0679351,0.005953076,0.030815922,0.104143337,10331,9.88,4.54,3.41,4.47,2.04
