MSOA11CD,MSOA11NM,Local authority,covid_19_deaths,covid_19_deaths_per_thousand,total_population_mid_2018,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,child_poverty_prop,total_registered_patients,Hypertension,Obesity (18+),Diabetes,Asthma,Coronary heart disease
E02000158,Bromley 032,Bromley,3,0.383386581,7825,0.159361022,0.259744409,0.21086262,0.122080391,0.053367735,0.005024443,0.011814231,0.168030551,8392,13.72,5.91,4.85,5.31,2.84
E02000159,Bromley 033,Bromley,4,0.574547544,6962,0.175237001,0.243251629,0.148619299,0.097621844,0.020111568,0.001908397,0.028919554,0.093406593,7629,14.04,6.29,4.22,5.18,3.04
E02000160,Bromley 034,Bromley,4,0.497636228,8038,0.153894003,0.270401637,0.171655155,0.064663951,0.015147658,0.001654786,0.006491853,0.087539936,8505,14.8,5.35,4.22,4.82,2.9
E02000161,Bromley 035,Bromley,5,0.567665758,8808,0.141689373,0.26345879,0.153882801,0.116765755,0.022711058,0.004875149,0.032104637,0.056167979,9378,14.13,5.07,4.66,4.87,3.05
E02000162,Bromley 036,Bromley,4,0.572246066,6990,0.203433476,0.277018229,0.196614583,0.094576423,0.017032721,0.006872852,0.01807859,0.112686567,7498,15.43,6.13,4.68,5.03,3.25
E02000163,Bromley 037,Bromley,3,0.386398764,7764,0.166409067,0.242273442,0.160817182,0.071111111,0.012679739,0.003137255,0.016339869,0.080624187,8374,14.34,5.17,4.42,4.56,3.02
E02000165,Bromley 039,Bromley,2,0.286368843,6984,0.113402062,0.294965849,0.221350873,0.046841732,0.009652236,0.003690561,0.004968062,0.133847232,7476,15.98,6.39,4.49,5.36,3.2
E02000166,Camden 001,Camden,4,0.439947206,9092,0.136053674,0.207424128,0.147479308,0.206208985,0.057294296,0.019687027,0.009591116,0.144341801,9314,9.87,3.88,3.23,4.58,1.44
E02000167,Camden 002,Camden,1,0.105965879,9437,0.145597118,0.154615734,0.076170987,0.151812689,0.018630413,0.005287009,0.02051863,0.02460733,8903,10.76,3.09,2.54,3.55,1.77
E02000168,Camden 003,Camden,2,0.210504157,9501,0.09314809,0.190137717,0.127276766,0.217816936,0.056779246,0.0340186,0.010401371,0.109605911,9702,10.43,4.27,3.65,4.92,1.42
E02000169,Camden 004,Camden,5,0.543537341,9199,0.121752364,0.144669366,0.109581646,0.241194186,0.024486055,0.010082493,0.042425036,0.029302326,8345,9.33,2.84,2.4,3.18,1.55
E02000170,Camden 005,Camden,2,0.206398349,9690,0.081630547,0.193111686,0.125622138,0.256776205,0.045814344,0.021827776,0.034060926,0.070334657,10050,8.5,3.38,3.03,3.22,1.32
E02000171,Camden 006,Camden,4,0.422654269,9464,0.094040575,0.193117978,0.114934457,0.229214633,0.042849834,0.037861346,0.020081862,0.093541203,9478,10.17,4.06,3.15,3.82,1.58
E02000172,Camden 007,Camden,10,0.826377985,12101,0.079001735,0.255945373,0.226512833,0.374396373,0.120232581,0.087710653,0.011234848,0.227399442,12831,10.79,5.08,4.37,4.65,1.63
E02000173,Camden 008,Camden,0,0,9893,0.089052866,0.192228571,0.084342857,0.299022801,0.038697068,0.025016287,0.039087948,0.040456432,9561,9.29,3.34,2.53,3.4,1.55
E02000174,Camden 009,Camden,4,0.390777648,10236,0.067702227,0.192266148,0.165262476,0.321092495,0.10087216,0.062543034,0.021803994,0.191788856,11401,9.03,3.99,3.54,4.51,1.26
E02000175,Camden 010,Camden,4,0.355871886,11240,0.062811388,0.165972851,0.115837104,0.297016275,0.074367089,0.03164557,0.036053345,0.080408424,11094,8.19,3.41,2.59,3.4,1.15
E02000176,Camden 011,Camden,1,0.13065064,7654,0.102430102,0.139336016,0.076207243,0.223128825,0.022438412,0.01035619,0.038914169,0.020626432,7453,9.78,3.73,2.78,3.84,1.6
E02000177,Camden 012,Camden,5,0.477828746,10464,0.096712538,0.233527132,0.192344961,0.359856951,0.123491283,0.080800179,0.01016987,0.205012531,10830,11.16,5.09,4.27,4.64,1.74
E02000178,Camden 013,Camden,3,0.287797391,10424,0.062356101,0.210805301,0.165749235,0.369199503,0.126679463,0.039742576,0.028564977,0.179164282,11097,9.87,5.06,3.77,3.96,1.45
E02000179,Camden 014,Camden,2,0.263956711,7577,0.106110598,0.195082498,0.129407959,0.333544004,0.099699795,0.054826987,0.027650498,0.14966402,7616,9.51,3.64,2.82,3.87,1.54
E02000180,Camden 015,Camden,2,0.204834084,9764,0.061347808,0.225093168,0.174906832,0.339307486,0.109607413,0.065593758,0.017800536,0.250636132,8994,8.67,4.23,3.68,4.38,1.3
E02000181,Camden 016,Camden,1,0.109421162,9139,0.07254623,0.139855819,0.084654995,0.242086144,0.038012455,0.020757654,0.040217955,0.08026554,9845,9.34,4.26,3.22,3.81,1.32
E02000182,Camden 017,Camden,3,0.345821326,8675,0.101325648,0.170327921,0.126074499,0.402866955,0.064207854,0.046140063,0.05808571,0.088284287,9369,8.18,3.52,2.68,3.38,1.28
E02000183,Camden 018,Camden,3,0.348351138,8612,0.110775662,0.176744186,0.110232558,0.2278529,0.057121193,0.033236446,0.018324277,0.110313316,8838,10.64,3.44,3.02,3.69,1.56
E02000184,Camden 019,Camden,4,0.390205834,10251,0.053750854,0.264713248,0.21963436,0.409930196,0.119455078,0.106394956,0.020941229,0.25,11286,9.4,4.54,3.93,4.15,1.3
E02000185,Camden 020,Camden,5,0.502310629,9954,0.095639944,0.232786017,0.219014831,0.420386007,0.144873341,0.054041013,0.024366707,0.211316975,10858,11.13,5.42,4.28,4.02,1.55
E02000186,Camden 021,Camden,3,0.366748166,8180,0.07603912,0.211236574,0.169099422,0.305667713,0.085838194,0.042320921,0.030058322,0.185324553,7371,10.16,4.54,4.33,3.95,1.52
E02000187,Camden 022,Camden,7,0.631142368,11091,0.064556848,0.316620879,0.314217033,0.529368486,0.150214592,0.191538933,0.017657879,0.305922454,11489,9.37,4.94,4.52,3.93,1.33
E02000188,Camden 023,Camden,4,0.450298323,8883,0.064505235,0.31981227,0.266510225,0.516101899,0.108026917,0.176159577,0.032323961,0.28529755,9427,9.45,4.27,4.73,3.82,1.62
E02000189,Camden 024,Camden,1,0.141183114,7083,0.055626147,0.236092266,0.202623247,0.546265141,0.146702557,0.169246299,0.034152086,0.169706582,8323,6.52,3.34,2.87,2.6,0.89
E02000190,Camden 025,Camden,3,0.351288056,8540,0.073653396,0.240806223,0.196605375,0.430146082,0.079282869,0.095351926,0.03373174,0.17860554,11003,6.29,3.24,2.65,2.35,0.83
E02000191,Camden 026,Camden,0,0,8703,0.05297024,0.238278741,0.15285806,0.432306256,0.06362545,0.053488062,0.055889022,0.153618907,11086,4.1,2.26,1.81,1.92,0.6
E02000192,Camden 027,Camden,6,0.683060109,8784,0.070924408,0.193168772,0.163030999,0.41483862,0.089842113,0.150342322,0.022914629,0.24005891,8668,6.58,3.66,2.75,2.75,0.98
E02000193,Camden 028,Camden,2,0.232693426,8595,0.084700407,0.206406551,0.144749518,0.356094364,0.053997379,0.051245085,0.035648755,0.174185464,9738,7.4,3.84,2.89,2.73,1.05
E02000194,Croydon 001,Croydon,13,1.381509033,9410,0.077258236,0.246945899,0.183682373,0.395584177,0.207911684,0.018399264,0.027368905,0.180443004,10507,9.16,5.29,3.61,4.65,1.26
E02000195,Croydon 002,Croydon,11,1.118681989,9833,0.104647615,0.283578759,0.202141901,0.538898601,0.220826049,0.070148601,0.106643357,0.152620761,11006,10.29,6.4,5.26,4.31,1.47
E02000196,Croydon 003,Croydon,10,1.236552492,8087,0.100160752,0.300999412,0.24750147,0.643928137,0.265703093,0.120626773,0.111576388,0.209884076,9424,10.54,7.98,5.75,4.07,1.74
E02000197,Croydon 004,Croydon,5,0.521213385,9593,0.091837798,0.287361845,0.240269101,0.641191995,0.276116121,0.092368595,0.108313174,0.194366197,11138,9.5,7.33,5.05,3.79,1.68
E02000198,Croydon 005,Croydon,8,0.914703865,8746,0.065401326,0.324554184,0.293552812,0.626765799,0.387856258,0.045477076,0.040892193,0.219854941,10393,11.29,7.62,5.94,4.2,1.54
E02000199,Croydon 006,Croydon,8,0.950796292,8414,0.067149988,0.314908722,0.263945233,0.665954923,0.442111507,0.033096085,0.032265718,0.171532847,10028,10.97,6.68,5.72,3.97,1.53
E02000200,Croydon 007,Croydon,2,0.226065333,8847,0.084548434,0.294941061,0.238212181,0.541837473,0.341451652,0.026645768,0.025681215,0.138768898,9357,10.27,5.49,4.65,4.24,1.43
E02000201,Croydon 008,Croydon,2,0.216076059,9256,0.054991357,0.322803292,0.282983807,0.60173892,0.40115928,0.021494989,0.022461055,0.200574241,9681,10.32,5.36,4.82,4.15,1.52
E02000202,Croydon 009,Croydon,10,1.178411501,8486,0.096040537,0.299345418,0.271399799,0.751520824,0.339494619,0.098502574,0.135821245,0.220163488,10347,10.96,6.95,6.15,3.98,1.83
E02000203,Croydon 010,Croydon,10,1.259921885,7937,0.079123094,0.309033734,0.287307033,0.709245258,0.400185701,0.052924791,0.080116726,0.209302326,9251,10.84,6.76,6,3.79,1.66
E02000204,Croydon 011,Croydon,12,1.247401247,9620,0.086278586,0.307878788,0.269333333,0.796640799,0.316253854,0.116508983,0.178590411,0.210526316,11608,11.72,7.11,6.69,4.17,1.96
E02000206,Croydon 013,Croydon,4,0.391926318,10206,0.072702332,0.311585512,0.280163109,0.635496383,0.384841178,0.032183667,0.041723451,0.203013481,11450,9.61,6.64,5,3.82,1.55
E02000207,Croydon 014,Croydon,1,0.109217999,9156,0.061489734,0.291913215,0.242110454,0.540393377,0.325147239,0.032336926,0.035003889,0.182550972,9967,10.79,5.99,5.21,4.31,1.79
E02000208,Croydon 015,Croydon,5,0.458631444,10902,0.052283985,0.331578947,0.287320574,0.717364658,0.332277835,0.080388151,0.107558733,0.21102791,12280,10.86,6.5,6.07,4.19,1.85
E02000209,Croydon 016,Croydon,6,0.679270916,8833,0.055247368,0.302695418,0.280862534,0.722724031,0.24875208,0.061682909,0.144521036,0.21677074,10220,10.15,6.17,5.91,3.85,1.55
E02000210,Croydon 017,Croydon,3,0.352443609,8512,0.066611842,0.258465791,0.222529371,0.428279182,0.20709988,0.025030084,0.045487365,0.147757256,9399,11.48,6.19,5.03,4.46,2.15
E02000211,Croydon 018,Croydon,5,0.617741537,8094,0.160118606,0.278150455,0.19070436,0.25375,0.088125,0.016375,0.0495,0.11352133,8451,14.28,4.72,5.02,4.78,2.54
E02000212,Croydon 019,Croydon,2,0.214915109,9306,0.04921556,0.327287277,0.31715124,0.702452188,0.243810865,0.059720756,0.163088115,0.227648681,10787,9.75,5.4,5.62,3.88,1.56
E02000213,Croydon 020,Croydon,9,0.808843354,11127,0.044306642,0.29373246,0.271749298,0.666841168,0.293686525,0.064391163,0.101769448,0.225626741,13700,9.93,5.99,5.23,4.07,1.69
E02000214,Croydon 021,Croydon,6,0.960768615,6245,0.12570056,0.256877898,0.172179289,0.327774214,0.125561257,0.030628608,0.046664529,0.12553011,6777,12.06,6.37,5,5.18,2.23
E02000215,Croydon 022,Croydon,8,0.706651356,11321,0.078968289,0.221505751,0.180376438,0.455219624,0.145845218,0.032991063,0.098783039,0.166742805,12967,9.78,5.75,4.28,3.89,1.87
E02000216,Croydon 023,Croydon,5,0.720357297,6941,0.153868319,0.18253487,0.10733778,0.508014248,0.077916296,0.028198278,0.255120214,0.062770563,8211,7.58,4.37,3.48,3.35,1.45
E02000217,Croydon 024,Croydon,2,0.163907556,12202,0.046058023,0.280691299,0.239570918,0.476568951,0.201589595,0.026837325,0.060693642,0.191489362,12550,8.17,5.28,4.26,3.91,1.42
E02000218,Croydon 025,Croydon,3,0.44234739,6782,0.099528163,0.303877052,0.24380021,0.400301205,0.213855422,0.02876506,0.039307229,0.227513228,7227,12.7,5.91,4.69,4.1,2.14
E02000219,Croydon 026,Croydon,9,1.194426012,7535,0.20066357,0.239255765,0.157494759,0.260473588,0.074551132,0.024329951,0.067785584,0.138815208,8141,14.2,4.58,4.91,4.52,2.52
E02000220,Croydon 027,Croydon,12,0.941619586,12744,0.061283741,0.245570073,0.202613209,0.418479911,0.152919745,0.025402287,0.079242992,0.149700599,13708,7.92,4.85,3.74,3.89,1.48
E02000221,Croydon 028,Croydon,13,1.199926158,10834,0.086025475,0.276566757,0.247275204,0.461507128,0.198574338,0.030549898,0.05610998,0.205270973,11733,9.38,6.49,4.57,4.6,1.71
E02000222,Croydon 029,Croydon,1,0.120148985,8323,0.088309504,0.224760164,0.158063042,0.308072488,0.097706248,0.019769357,0.060068432,0.121908127,8531,9.91,5.3,4.17,4.31,1.99
E02000223,Croydon 030,Croydon,0,0,8635,0.067863347,0.354444045,0.396185678,0.38370565,0.252896906,0.011707084,0.006211922,0.299437016,9670,11.42,6.1,5.04,4.5,2.22
E02000224,Croydon 031,Croydon,5,0.623752495,8016,0.07759481,0.242035188,0.181883024,0.316631963,0.116866216,0.01887038,0.043987507,0.128336173,8614,11.48,5.25,4.56,4.76,2.35
E02000225,Croydon 032,Croydon,6,0.788539887,7609,0.095676173,0.314934069,0.34774609,0.223490378,0.138686131,0.00729927,0.008759124,0.227690644,8463,11.62,6.17,5.4,4.66,2.4
E02000226,Croydon 033,Croydon,3,0.398989227,7519,0.164649554,0.248636009,0.168875032,0.230799841,0.063138347,0.021222974,0.057965247,0.112219451,8458,13.22,5.5,4.74,5.2,2.62
E02000227,Croydon 034,Croydon,3,0.261051166,11492,0.127131918,0.28588395,0.222599253,0.200070108,0.089387433,0.013057576,0.023749014,0.14978355,12609,13.37,5.77,4.99,5.24,2.66
E02000228,Croydon 035,Croydon,12,1.544401544,7770,0.182368082,0.215169446,0.125874126,0.204757524,0.038375608,0.017742147,0.059797608,0.060398078,8430,12.61,5.2,4.66,4.96,2.54
E02000229,Croydon 036,Croydon,7,1.030776027,6791,0.096745693,0.336662505,0.372867249,0.253216191,0.150611861,0.009099467,0.009570129,0.22295082,7196,11.02,5.84,5.24,4.49,2.39
E02000230,Croydon 037,Croydon,6,0.569476082,10536,0.12746773,0.223720746,0.147362158,0.316973619,0.079442509,0.029666501,0.068193131,0.104771274,11154,12.07,4.97,4.48,4.44,2.3
E02000231,Croydon 038,Croydon,2,0.262191924,7628,0.155610907,0.233096554,0.135227572,0.325439167,0.054651919,0.040208198,0.11008458,0.067822155,8399,12.94,4.85,4.62,4.54,2.38
E02000232,Croydon 039,Croydon,3,0.476266074,6299,0.163200508,0.252200406,0.193297224,0.170452715,0.044949251,0.01433865,0.035604962,0.09273183,6789,12.56,4.79,4.73,4.98,2.49
E02000233,Croydon 040,Croydon,1,0.153256705,6525,0.109425287,0.240107311,0.172367539,0.246617767,0.079054605,0.021841891,0.044987775,0.129791527,6751,11.39,4.7,4.15,4.22,2.12
E02000234,Croydon 041,Croydon,5,0.57123272,8753,0.116988461,0.245311328,0.181795449,0.262744609,0.078399601,0.017948398,0.046989904,0.118210863,9555,12.35,4.96,4.28,4.49,2.39
E02000235,Croydon 042,Croydon,3,0.422773393,7096,0.130777903,0.225961538,0.163744344,0.186710677,0.057405281,0.011337543,0.031716418,0.074155653,7423,11.24,4.38,3.92,4.28,2.06
E02000236,Croydon 043,Croydon,5,0.623908161,8014,0.115672573,0.242493639,0.163358779,0.158767463,0.041389215,0.009792401,0.031335684,0.094479226,8635,14.39,4.91,4.77,5.12,2.7
E02000237,Croydon 044,Croydon,3,0.390370852,7685,0.179700716,0.264976959,0.194412442,0.139531773,0.043210702,0.003745819,0.015652174,0.108183079,8157,13.84,5.5,4.51,5.35,2.86
E02000238,Ealing 001,Ealing,4,0.424808836,9416,0.083050127,0.262789217,0.290596476,0.522842105,0.136210526,0.045684211,0.126947368,0.230558097,11040,11.3,6.37,5.58,4.47,1.85
E02000239,Ealing 002,Ealing,2,0.226680267,8823,0.10993993,0.262433862,0.272380952,0.584222222,0.092777778,0.073222222,0.206,0.184820394,10277,12.98,6.89,6.75,3.85,2.08
E02000240,Ealing 003,Ealing,8,0.78794445,10153,0.080961292,0.313769752,0.321218962,0.528105212,0.1730151,0.036337068,0.077350219,0.270123839,12233,11.22,6.49,5.85,5.16,1.99
E02000241,Ealing 004,Ealing,7,1.046337818,6690,0.091330344,0.277346085,0.256126718,0.48847718,0.119144449,0.037204398,0.097755686,0.189502386,7782,12.26,7.16,6.18,4.95,2.11
E02000242,Ealing 005,Ealing,6,0.874380647,6862,0.082628971,0.258568851,0.284125075,0.635960373,0.070087239,0.05914535,0.21514121,0.211764706,7949,11.83,6.52,6.67,4.11,2.52
E02000243,Ealing 006,Ealing,7,0.826739105,8467,0.10062596,0.262768496,0.287350835,0.510400752,0.124338935,0.04301328,0.120930779,0.190633609,9997,11.55,6.74,6.15,4.19,2.33
E02000244,Ealing 007,Ealing,2,0.266844563,7495,0.092461641,0.273283662,0.268227781,0.461377579,0.084495259,0.042944785,0.094255438,0.181528662,8654,10.84,6.92,5.78,4.18,2.18
E02000245,Ealing 008,Ealing,7,0.82928563,8441,0.069186115,0.319332738,0.327673518,0.564982835,0.204757234,0.048430603,0.087665522,0.227864037,9795,11.23,7.21,5.92,5.21,1.92
E02000246,Ealing 009,Ealing,1,0.115233925,8678,0.078589537,0.313088109,0.331907613,0.545381802,0.189414723,0.049954275,0.079789666,0.245845761,10302,12.12,6.2,6,4.8,1.94
E02000247,Ealing 010,Ealing,21,1.999048072,10505,0.093479296,0.302361854,0.309269162,0.578288708,0.164629414,0.050931315,0.114377183,0.222302942,12603,12.14,7.12,6.63,5.31,2.41
E02000248,Ealing 011,Ealing,3,0.390828557,7676,0.083637311,0.228289132,0.231409256,0.469730025,0.058358331,0.034360513,0.095991274,0.150425114,9164,8.94,4.12,3.95,3.25,1.78
E02000249,Ealing 012,Ealing,13,1.739130435,7475,0.115585284,0.27993439,0.305904866,0.550446833,0.116047144,0.052065795,0.133402409,0.194139194,8851,12.71,6.7,6.95,5.04,2.8
E02000250,Ealing 013,Ealing,9,1.428571429,6300,0.126190476,0.198275862,0.131391201,0.242176661,0.025127177,0.013565593,0.051641745,0.04109589,7548,11.74,5.13,3.78,4.66,2.44
E02000251,Ealing 014,Ealing,3,0.401337793,7475,0.09993311,0.287344398,0.29123444,0.720669688,0.106998993,0.094284995,0.271777442,0.204460967,9790,14.33,7.73,8.57,5.6,3.22
E02000252,Ealing 015,Ealing,0,0,11431,0.0545884,0.255993499,0.252133279,0.511539254,0.176282712,0.029569339,0.057078096,0.220391349,14947,7.69,5.07,3.77,3.19,1.44
E02000253,Ealing 016,Ealing,9,0.966391066,9313,0.106732524,0.298793995,0.304454836,0.452761628,0.152512458,0.02595515,0.054921096,0.219522777,11514,12.34,7,5.51,5.33,2.08
E02000254,Ealing 017,Ealing,9,1.07117353,8402,0.09926208,0.266329236,0.325620631,0.873840653,0.064923455,0.112638284,0.447200805,0.21327283,11856,14.96,8.73,10.65,5.72,3.26
E02000255,Ealing 018,Ealing,5,0.538502962,9285,0.11265482,0.224653863,0.177757928,0.384997359,0.124564184,0.026096144,0.059482303,0.173404774,11069,10.72,5.23,4.19,4.77,2.04
E02000256,Ealing 019,Ealing,2,0.23054755,8675,0.091412104,0.195920016,0.139769743,0.3084302,0.050107211,0.017492382,0.068953843,0.066537468,10329,10.04,5.2,3.73,4.3,1.99
E02000257,Ealing 020,Ealing,2,0.138523341,14438,0.092325807,0.181770215,0.124785648,0.373010586,0.048930343,0.018062033,0.074690947,0.053664397,17542,8.76,4.13,3.22,3.63,1.87
E02000258,Ealing 021,Ealing,2,0.286902883,6971,0.079185196,0.225531915,0.208206687,0.410549777,0.097473997,0.017384844,0.030757801,0.10782241,8644,8.26,5.59,3.86,3.52,1.55
E02000259,Ealing 022,Ealing,3,0.495622006,6053,0.09053362,0.264863258,0.216111772,0.307361377,0.081102613,0.024378585,0.054333971,0.114869626,7311,12.21,6.18,5.09,5.65,2.19
E02000260,Ealing 023,Ealing,8,0.857081637,9334,0.101992715,0.259279039,0.322563418,0.904477612,0.083352468,0.107347876,0.46934558,0.199905927,12772,14.48,8.44,10.6,5.19,3.26
E02000261,Ealing 024,Ealing,4,0.338037691,11833,0.071917519,0.259119259,0.226233226,0.490897269,0.143878878,0.037804198,0.042262679,0.176346801,15251,7.47,5.68,4.07,3.33,1.44
E02000262,Ealing 025,Ealing,13,1.459034792,8910,0.07620651,0.246876985,0.210459454,0.371540616,0.108907563,0.032156863,0.033053221,0.156427759,11168,9.49,6.81,4.41,4.1,1.77
E02000263,Ealing 026,Ealing,8,0.673004122,11887,0.089341297,0.257729819,0.365428512,0.93864398,0.068316576,0.176248174,0.466357309,0.235724744,18600,13.94,8.11,10.58,5.2,3.12
E02000264,Ealing 027,Ealing,3,0.355745286,8433,0.101743152,0.209225337,0.153167071,0.333950389,0.047389856,0.022460817,0.062446008,0.068759342,10511,9.31,5.27,3.69,3.79,1.82
E02000265,Ealing 028,Ealing,9,0.843012364,10676,0.080835519,0.224593496,0.196815718,0.382948107,0.114938394,0.038942351,0.064484216,0.127350427,13084,11,5.66,4.84,4.47,2.16
E02000266,Ealing 029,Ealing,16,1.396648045,11456,0.076990223,0.33650519,0.313797578,0.772930014,0.229827265,0.088962777,0.220825562,0.313211845,14265,11.74,7.64,8.44,5.19,2.58
E02000267,Ealing 030,Ealing,3,0.410677618,7305,0.075427789,0.253766852,0.2135871,0.286745596,0.078977765,0.02237944,0.040427375,0.11522872,8949,11.23,5.3,4.76,5.14,2.06
E02000268,Ealing 031,Ealing,6,0.670840787,8944,0.09950805,0.207025118,0.154042386,0.268754007,0.067749519,0.01688395,0.046804873,0.123222749,10959,8.37,4.23,3.19,3.78,1.77
E02000269,Ealing 032,Ealing,1,0.124672734,8021,0.087270914,0.185823755,0.137505321,0.233597425,0.035899975,0.013369646,0.05904927,0.057841383,9452,9.87,4.3,3.68,4.03,2.05
E02000270,Ealing 033,Ealing,6,0.771406531,7778,0.075083569,0.290109258,0.289534215,0.519706577,0.236851921,0.023125699,0.036553525,0.238445378,10130,9.75,6.73,4.49,4.61,1.84
E02000271,Ealing 034,Ealing,3,0.435097897,6895,0.089485134,0.162578288,0.116649269,0.172112968,0.032234216,0.0104983,0.022475233,0.046918768,8298,9.12,5.27,3.39,3.88,1.74
E02000272,Ealing 035,Ealing,4,0.618238022,6470,0.121020093,0.225541244,0.158673609,0.258743331,0.049051571,0.022969769,0.060314167,0.084154663,7805,10.52,4.37,4.18,4.64,2.1
E02000274,Ealing 037,Ealing,9,0.635817732,14155,0.061603674,0.272744326,0.380041268,0.916201995,0.120317286,0.110421739,0.469724338,0.231714126,21528,12.48,7.95,9.65,4.79,2.48
E02000275,Ealing 038,Ealing,14,1.87366167,7472,0.109207709,0.269330734,0.2820013,0.829907068,0.086172909,0.087721769,0.440157702,0.213194869,10172,12.32,7.61,9.05,5.04,2.51
E02000276,Ealing 039,Ealing,3,0.459277404,6532,0.077464789,0.211578401,0.161214953,0.243528712,0.050580184,0.00907468,0.050133889,0.060283688,8037,8.83,3.99,3.36,4.21,1.82
E02000277,Enfield 001,Enfield,4,0.522739153,7652,0.08925771,0.306573957,0.296144121,0.350656687,0.201807654,0.013274961,0.012710069,0.205963556,8059,12.69,8.64,5.99,5.01,1.89
E02000278,Enfield 002,Enfield,7,0.711599065,9837,0.083053777,0.335884874,0.337721984,0.390743465,0.219644676,0.016974086,0.012447663,0.205474316,10522,11.98,8.34,5.76,4.6,1.81
E02000279,Enfield 003,Enfield,3,0.229832222,13053,0.047268827,0.303246753,0.287878788,0.482022671,0.281083953,0.017534538,0.023467942,0.157631359,12892,10.39,8.05,4.87,4.36,1.36
E02000280,Enfield 004,Enfield,16,1.875293015,8532,0.121425223,0.286754003,0.222707424,0.178743394,0.062008221,0.007985907,0.020551967,0.131607335,9025,12.51,6.58,4.88,4.93,2.66
E02000281,Enfield 005,Enfield,4,0.429599399,9311,0.089249275,0.310423535,0.269591681,0.317713639,0.141369553,0.014827391,0.021618563,0.170042194,9812,12.55,6.84,5.38,4.87,2.52
E02000282,Enfield 006,Enfield,4,0.397851601,10054,0.061269147,0.326412214,0.340152672,0.428195283,0.227427318,0.020296215,0.013384531,0.195801789,10572,12.41,9,6.29,4.55,2.04
E02000283,Enfield 007,Enfield,2,0.226244344,8840,0.077714932,0.321553738,0.301401869,0.396130104,0.20477208,0.021842355,0.018162393,0.183105023,9615,12.16,8.84,6.12,4.51,2
E02000284,Enfield 008,Enfield,0,0,8654,0.108851398,0.262260128,0.179578299,0.188414634,0.060365854,0.011829268,0.020853659,0.099625067,9022,12.79,7.68,4.8,4.99,2.64
E02000285,Enfield 009,Enfield,3,0.466200466,6435,0.136441336,0.275137112,0.192870201,0.175079582,0.055479764,0.009246627,0.020615431,0.102189781,7166,12.42,6.66,4.73,4.88,2.62
E02000286,Enfield 010,Enfield,9,1.056710109,8517,0.16238112,0.2557924,0.156858202,0.192081392,0.049644521,0.011645011,0.032606031,0.082972583,8489,12.29,7.26,4.76,4.68,2.4
E02000287,Enfield 011,Enfield,13,1.81665735,7156,0.159306875,0.20176586,0.146827992,0.237285651,0.047926132,0.011725048,0.058918364,0.088502269,7776,11.48,4.68,4.68,4.14,2.64
E02000288,Enfield 012,Enfield,2,0.176397954,11338,0.073822544,0.336120401,0.314381271,0.493040991,0.234032412,0.083031459,0.016968541,0.214213198,12397,12.83,8.7,6.62,4.9,2.14
E02000289,Enfield 013,Enfield,2,0.303168107,6597,0.173108989,0.269593496,0.18504065,0.23001979,0.03562186,0.016897549,0.058913077,0.100160256,7298,12.06,5.19,4.73,4.37,2.49
E02000290,Enfield 014,Enfield,5,0.71952799,6949,0.061159879,0.335231587,0.329916477,0.548053024,0.276166805,0.072908036,0.019745927,0.198818898,7277,11.72,8.74,6.06,4.88,1.86
E02000291,Enfield 015,Enfield,3,0.292597289,10253,0.108163464,0.268542809,0.215358932,0.297960556,0.127073061,0.013558942,0.017144778,0.150507849,10568,11.11,6.48,4.61,4.31,2.03
E02000292,Enfield 016,Enfield,10,1.017087063,9832,0.088588283,0.299756476,0.245074164,0.33273797,0.13154024,0.021853331,0.029838201,0.120971302,10587,11.31,6.63,5.21,4.24,1.92
E02000293,Enfield 017,Enfield,2,0.309023486,6472,0.159765142,0.253775443,0.160210112,0.190899001,0.040748375,0.012367211,0.037577295,0.054618474,6919,12.33,5.04,4.61,4.55,2.46
E02000294,Enfield 018,Enfield,4,0.424403183,9425,0.089549072,0.322772277,0.323620934,0.510192589,0.263205316,0.048316252,0.029958329,0.224364592,10737,12.71,8.45,6.66,4.6,1.95
E02000295,Enfield 019,Enfield,6,0.663496627,9043,0.123631538,0.24684821,0.171205245,0.306424648,0.063052305,0.020062097,0.057081443,0.100585938,9373,12.18,4.42,4.78,4.41,2.62
E02000296,Enfield 020,Enfield,18,1.722488038,10450,0.11291866,0.264469976,0.21829612,0.315049816,0.06135291,0.022024122,0.065023597,0.154536391,11160,11.53,5.25,4.88,3.94,2.51
E02000297,Enfield 021,Enfield,5,0.51975052,9620,0.144282744,0.259940778,0.196277496,0.249408475,0.081092708,0.026349753,0.038287804,0.099015634,10606,11.67,4.55,4.56,4.14,2.16
E02000298,Enfield 022,Enfield,10,1.240233164,8063,0.132952995,0.208624428,0.133943628,0.192828485,0.04275326,0.006268806,0.038615848,0.068897638,8922,12.23,4.02,4.54,4.43,2.33
E02000299,Enfield 023,Enfield,7,0.69637883,10052,0.06914047,0.331232877,0.339178082,0.592998282,0.333870275,0.032109107,0.032646048,0.244452802,11984,12.17,8.25,6.72,4.16,1.85
E02000300,Enfield 024,Enfield,8,0.885347499,9036,0.072598495,0.322446556,0.313539192,0.570307711,0.298639206,0.029299988,0.037268604,0.219740956,9801,12,8.6,6.4,4.05,1.86
