ID,Borough,Ward,Constituency,Turnout,Ward Level Electorate,Winner,Sadiq Aman Khan - Labour Party,% Children aged 0-15,% Working-age 16-64,% Older people aged 65+,Median Age 2013,Population density 2013,% BAME 2011,% Not Born in UK 2011,General Fertility Rate 2013,Male life expectancy 2009_13,Female life expectancy 2009-13 ,% children in reception obese 2011_14,% children year 6 obese- 2011_14,"Rate Ambulance Incidents per 1,000 population - 2014",In employment (16-64) 2011,Number of jobs in area - 2013,Rate new migrant workers - 2011/12,No properties sold 2014,Median Household income 2012/13,% semi-detached houses 2011,% Households Private Rented 2011,% dwellings CT bands A or B 2015,"% dwellings CT bands F, G or H - 2015",Rate Claimant Housing Benefit 2015,Rate JobSeekers Allowance 2015,% dependent children in out-of-work households 2014,% Households No adults Employment dependent children 2011,% Lone parents no employment 2011,Average GCSE capped point scores 2014,% No qualifications 2011,% Level 4 and above qualifications 2011,Crime rate 2014_15,% area that is open space - 2014,Average Public Transport Accessibility score 2014,Turnout at Mayoral election 2012
218,Sutton,Sutton South,Croydon & Sutton,"2,400","6,004",Zac Goldsmith,720,16.91169117,66.04660466,17.04170417,37,7653.8,24.4,29.4,80.90909091,80.01892518,80.9163798,8.243727599,18.22916667,148.3343189,5073,3900,24.06015038,239,40460,7.8,32.8,11.41732283,11.02362205,10.51393626,1.517586145,9.722222222,2.386340259,37.6,337.717037,15.7,41.6,42.50626566,8.140480961,3.269863939,34.42415476
219,Sutton,Sutton West,Croydon & Sutton,"2,800","6,651",Zac Goldsmith,852,18.55245076,67.21026111,14.23728814,37,6055.6,23,25.1,69.3877551,80.4551152,83.12320478,8.333333333,17.15481172,90.35750957,5686,1900,18,222,41610,23.8,26.8,11.41078838,9.958506224,5.416012559,0.952683392,6.25,2.222222222,33.17757009,352.0459627,13.5,38.6,33.82838284,23.10970981,3.532778662,33.91221977
220,Sutton,The Wrythe,Croydon & Sutton,"2,350","6,590",Zac Goldsmith,650,20.1616738,65.75368521,14.08464099,38,7000,16.9,15.3,68.88888889,77.44485379,82.52019369,8.040201005,23.98648649,94.99757164,5289,1500,6.206896552,188,36790,33.1,12.7,7.482993197,0,7.687702072,1.027749229,13.87755102,3.299067655,36.49122807,331.9978102,22.2,23.2,61.44773138,18.00359849,2.638672548,29.7219559
221,Sutton,Wallington North,Croydon & Sutton,"2,911","7,006",Zac Goldsmith,833,20.81497797,65.22577093,13.9592511,38,6843.8,19.6,16.6,73.19148936,80.66404651,83.92238558,7.194244604,15.68627451,102.8327857,5531,2900,6.993006993,171,38710,34.3,17.4,10.66945607,4.184100418,8.805970149,1.487849231,8.888888889,3.389455029,39.16913947,349.2135135,16.4,30.3,50.62134503,19.20683235,3.469860774,38.16395456
222,Sutton,Wallington South,Croydon & Sutton,"2,801","6,620",Zac Goldsmith,751,18.80759827,63.72014294,17.47225879,39,6235.3,21.3,18.5,61.39534884,79.73670646,85.10949609,8.259587021,24.50592885,161.6084977,4886,3200,11.53846154,188,37960,20.8,18.6,11.15879828,20.38626609,10.21555764,1.641736592,12.39130435,4.057971014,46.70658683,377.35,18.7,32,50.54696341,9.463890688,3.359194534,37.29923593
223,Sutton,Wandle Valley,Croydon & Sutton,"2,229","7,142",Sadiq Aman Khan,735,24.47563862,66.29396882,9.230392557,33,5761.9,24.8,19.8,71,78.68375534,81.16402525,10.02004008,22.77486911,108.7678512,5601,2000,12.83783784,156,32330,14,14.3,14.25702811,0.200803213,14.67181467,2.565298507,19.13043478,7.209302326,46.16639478,306.0933824,23.7,21.5,65.61701426,40.54531308,2.390583824,26.64458829
224,Sutton,Worcester Park,Croydon & Sutton,"3,218","7,461",Zac Goldsmith,865,22.11892797,63.44221106,14.43886097,37,5975,20,21.5,75.68627451,81.76823759,86.57960418,7.974137931,18.23529412,94.48945215,6052,2700,14.19354839,271,40610,35.8,15.7,1.422764228,10.56910569,5.852417303,1.447729351,8.387096774,3.319768687,35.97359736,336.2578512,17.2,30.8,44.62423889,22.29174727,2.37827005,33.76478775
225,Ealing,Acton Central,Ealing & Hillingdon,"3,903","8,763",Sadiq Aman Khan,1881,19.95580808,69.85479798,10.18939394,33,8750,40,48.3,62.85714286,79.26406986,86.14429215,11.13360324,19.43734015,109.3405555,7576,3000,62.74509804,167,36500,23.4,33.8,12.78195489,19.84962406,16.50477578,4.009720535,15.86666667,5.936801787,48.14814815,335.7136691,14.3,40.4,77.912977,24.23775434,3.135169639,35.30550775
226,Ealing,Cleveland,Ealing & Hillingdon,"4,712","9,243",Sadiq Aman Khan,1872,21.65295942,65.68019415,12.66684643,36,6750,36.9,39.6,62.22222222,79.48447889,86.29388105,9.98185118,19.24778761,95.07557289,6625,2600,26.60098522,174,41730,22.7,21.7,11.93277311,29.91596639,12.77222421,3.156122878,14.47368421,5.722786139,48,338.8765101,13.1,46.2,47.79361847,34.74898072,3.033226042,41.97281801
227,Ealing,Dormers Wells,Ealing & Hillingdon,"4,030","8,847",Sadiq Aman Khan,2445,22.38024482,65.32229534,12.29745985,33,6152.2,82.1,56,72.25806452,78.26814554,82.89110856,14.04109589,23.38858195,126.1607661,5600,1600,54.74860335,56,29350,26.9,19.2,33.10657596,0,14.49810606,4.301249797,16.4,8.279069767,53.86597938,308.4539877,23.5,24.4,53.98677004,47.32663665,3.336019152,37.92444345
228,Ealing,Ealing Broadway,Ealing & Hillingdon,"4,279","9,048",Zac Goldsmith,1464,14.64996789,73.34617855,12.00385356,34,7868.4,30.5,44.3,41.25,78.76378391,84.09959695,6.22406639,15.05376344,135.7494722,7745,11900,49.76744186,270,45540,12.1,42.4,7.976366322,29.54209749,8.749401818,1.890684084,7.692307692,2.862225097,43.38842975,349.3357798,7.3,57.7,145.6806723,6.122424921,5.03621398,39.89314337
229,Ealing,Ealing Common,Ealing & Hillingdon,"4,021","8,782",Zac Goldsmith,1489,15.74614789,72.2788996,11.97495251,35,6809.5,31.5,43.1,53.8028169,78.72319877,82.76793203,9.89010989,20.95238095,99.40845477,7687,3100,50.98039216,169,43600,18.3,36.4,4.746317512,25.85924714,10.05952381,2.02752519,11.92307692,3.704968414,49.36708861,338.9455224,10.8,52.6,68.89500035,22.20363228,3.582906414,37.70732258
230,Ealing,East Acton,Ealing & Hillingdon,"4,212","10,992",Sadiq Aman Khan,2162,19.83725867,71.64661882,8.516122511,31,4523.3,50.1,54.4,64.04040404,79.10015038,85.63554406,11.12984823,26.0960334,115.1570787,9269,18900,93.11740891,224,32930,20.1,34.1,13.63636364,12.40786241,13.73679155,3.497495037,21.23595506,7.685774947,53.43065693,305.9163265,15,38.3,103.7228542,19.61137102,3.976615234,31.07899807
231,Ealing,Elthorne,Ealing & Hillingdon,"4,375","9,680",Sadiq Aman Khan,2079,21.00662252,68.54304636,10.45033113,35,7450,34.9,40.6,75.83333333,78.52716094,83.49593495,10.97178683,22.56532067,116.0304297,7500,3900,40.625,190,38970,15.9,27.8,8.320493066,6.317411402,14.70731707,3.327884166,13.24324324,4.781601588,43.73716632,313.4022901,15.1,40.6,77.5397467,34.17666551,3.820471872,35.80832017
232,Ealing,Greenford Broadway,Ealing & Hillingdon,"4,409","11,217",Sadiq Aman Khan,2273,24.74784471,63.72908097,11.52307432,33,7120,57.3,48.6,75,77.91672967,82.29253662,13.71428571,23.63067293,134.6725773,7668,4800,45.67307692,160,30500,22.1,24.5,14.67065868,0.898203593,15.02242152,3.208119459,19.18367347,8.498896247,53.24137931,315.4,21.9,25.8,81.15434574,26.15832503,3.394188166,32.61889431
233,Ealing,Greenford Green,Ealing & Hillingdon,"3,909","9,507",Sadiq Aman Khan,1624,21.2142118,66.21593653,12.56985167,34,4264.7,49,50.1,80.64516129,81.54828822,84.27181092,9.0625,24.53608247,112.5827815,7003,8800,57.22891566,135,35420,39.1,25.1,6.525911708,0.959692898,8.758404303,1.94761585,10.1369863,4.185022026,40.46920821,324.8804196,17.8,30.2,74.75989774,22.55642081,2.618624911,33.28764235
234,Ealing,Hanger Hill,Ealing & Hillingdon,"3,994","8,874",Zac Goldsmith,1280,19.10390848,66.9399428,13.95614871,35,4787.9,43.1,53.1,56.75675676,82.22743176,87.76985528,7.107843137,18.40277778,87.79402416,7640,9400,52.79187817,209,44760,20.7,38.1,5.581395349,36.89922481,7.738335894,1.858505761,7.972972973,3.474714519,46.05263158,330.2333333,9.2,50.8,60.36511672,26.70394545,3.670560966,36.13122668
